Date,Stock (MT),ROP_Level,Days_of_Stock
01-07-2023,224187,244684.02,7.4
01-08-2023,193887,244684.02,6.4
01-09-2023,158820,244684.02,5.3
01-10-2023,150312,244684.02,5.0
01-11-2023,125161,244684.02,4.2
01-12-2023,228430,244684.02,7.6
02-07-2023,219412,244684.02,7.3
02-08-2023,189221,244684.02,6.3
02-09-2023,167254,244684.02,5.5
02-10-2023,128280,244684.02,4.3
02-11-2023,114954,244684.02,3.8
02-12-2023,237857,244684.02,7.9
03-07-2023,223041,244684.02,7.4
03-08-2023,171654,244684.02,5.7
03-09-2023,181070,244684.02,6.0
03-10-2023,120999,244684.02,4.0
03-11-2023,117518,244684.02,3.9
04-07-2023,229595,244684.02,7.6
04-08-2023,169937,244684.02,5.6
04-09-2023,174900,244684.02,5.8
04-10-2023,108899,244684.02,3.6
04-11-2023,115807,244684.02,3.8
05-07-2023,223190,244684.02,7.4
05-08-2023,161473,244684.02,5.4
05-09-2023,181978,244684.02,6.0
05-10-2023,104315,244684.02,3.5
05-11-2023,110633,244684.02,3.7
06-07-2023,225630,244684.02,7.5
06-08-2023,153913,244684.02,5.1
06-09-2023,185758,244684.02,6.2
06-10-2023,99618,244684.02,3.3
06-11-2023,120482,244684.02,4.0
07-07-2023,236291,244684.02,7.8
07-08-2023,138460,244684.02,4.6
07-09-2023,185959,244684.02,6.2
07-10-2023,100607,244684.02,3.3
07-11-2023,161655,244684.02,5.4
08-07-2023,236461,244684.02,7.8
08-08-2023,141991,244684.02,4.7
08-09-2023,176819,244684.02,5.9
08-10-2023,91072,244684.02,3.0
08-11-2023,171124,244684.02,5.7
09-07-2023,236314,244684.02,7.8
09-08-2023,141798,244684.02,4.7
09-09-2023,173702,244684.02,5.8
09-10-2023,83558,244684.02,2.8
09-11-2023,193750,244684.02,6.4
10-07-2023,231717,244684.02,7.7
10-08-2023,138311,244684.02,4.6
10-09-2023,172306,244684.02,5.7
10-10-2023,86330,244684.02,2.9
10-11-2023,195564,244684.02,6.5
11-07-2023,227850,244684.02,7.6
11-08-2023,157116,244684.02,5.2
11-09-2023,175336,244684.02,5.8
11-10-2023,80957,244684.02,2.7
11-11-2023,202680,244684.02,6.7
12-07-2023,228766,244684.02,7.6
12-08-2023,151307,244684.02,5.0
12-09-2023,163901,244684.02,5.4
12-10-2023,71435,244684.02,2.4
12-11-2023,224733,244684.02,7.5
13-07-2023,225682,244684.02,7.5
13-08-2023,145829,244684.02,4.8
13-09-2023,176173,244684.02,5.8
13-10-2023,63530,244684.02,2.1
13-11-2023,226106,244684.02,7.5
14-07-2023,226912,244684.02,7.5
14-08-2023,139762,244684.02,4.6
14-09-2023,192209,244684.02,6.4
14-10-2023,54475,244684.02,1.8
14-11-2023,243797,244684.02,8.1
15-07-2023,228712,244684.02,7.6
15-08-2023,132285,244684.02,4.4
15-09-2023,190591,244684.02,6.3
15-10-2023,47430,244684.02,1.6
16-07-2023,243279,244684.02,8.1
16-08-2023,139693,244684.02,4.6
16-09-2023,194029,244684.02,6.4
16-10-2023,41644,244684.02,1.4
17-08-2023,140143,244684.02,4.6
17-09-2023,197731,244684.02,6.6
17-10-2023,63213,244684.02,2.1
18-07-2023,242289,244684.02,8.0
18-08-2023,139108,244684.02,4.6
18-09-2023,180158,244684.02,6.0
18-10-2023,71609,244684.02,2.4
19-07-2023,237766,244684.02,7.9
19-08-2023,155086,244684.02,5.1
19-09-2023,180755,244684.02,6.0
19-10-2023,81282,244684.02,2.7
19-11-2023,234323,244684.02,7.8
20-07-2023,228256,244684.02,7.6
20-08-2023,158408,244684.02,5.3
20-09-2023,183257,244684.02,6.1
20-10-2023,84826,244684.02,2.8
20-11-2023,232379,244684.02,7.7
21-07-2023,218349,244684.02,7.2
21-08-2023,155853,244684.02,5.2
21-09-2023,187488,244684.02,6.2
21-10-2023,85111,244684.02,2.8
21-11-2023,229915,244684.02,7.6
22-07-2023,218191,244684.02,7.2
22-08-2023,162295,244684.02,5.4
22-09-2023,180966,244684.02,6.0
22-10-2023,89954,244684.02,3.0
22-11-2023,237648,244684.02,7.9
23-07-2023,229728,244684.02,7.6
23-08-2023,157129,244684.02,5.2
23-09-2023,181991,244684.02,6.0
23-10-2023,100661,244684.02,3.3
23-11-2023,226961,244684.02,7.5
24-07-2023,231889,244684.02,7.7
24-08-2023,159398,244684.02,5.3
24-09-2023,167803,244684.02,5.6
24-10-2023,107215,244684.02,3.6
24-11-2023,231516,244684.02,7.7
25-07-2023,225582,244684.02,7.5
25-08-2023,165551,244684.02,5.5
25-09-2023,167914,244684.02,5.6
25-10-2023,105834,244684.02,3.5
25-11-2023,229918,244684.02,7.6
26-07-2023,215084,244684.02,7.1
26-08-2023,162496,244684.02,5.4
26-09-2023,152381,244684.02,5.1
26-10-2023,100190,244684.02,3.3
26-11-2023,231681,244684.02,7.7
27-07-2023,208342,244684.02,6.9
27-08-2023,166189,244684.02,5.5
27-09-2023,148585,244684.02,4.9
27-10-2023,104227,244684.02,3.5
27-11-2023,229041,244684.02,7.6
28-07-2023,219382,244684.02,7.3
28-08-2023,165691,244684.02,5.5
28-09-2023,151607,244684.02,5.0
28-10-2023,115360,244684.02,3.8
28-11-2023,237189,244684.02,7.9
29-07-2023,211561,244684.02,7.0
29-08-2023,157067,244684.02,5.2
29-09-2023,158403,244684.02,5.3
29-10-2023,108316,244684.02,3.6
29-11-2023,230561,244684.02,7.6
30-07-2023,208262,244684.02,6.9
30-08-2023,157595,244684.02,5.2
30-09-2023,162588,244684.02,5.4
30-10-2023,107479,244684.02,3.6
30-11-2023,223686,244684.02,7.4
31-07-2023,191802,244684.02,6.4
31-08-2023,154608,244684.02,5.1
31-10-2023,109196,244684.02,3.6
