Date,Stock (MT),ROP_Level,Days_of_Stock
01-10-2023,108397,145616.65,5.9
01-11-2023,90908,145616.65,5.0
02-10-2023,108018,145616.65,5.9
02-11-2023,90676,145616.65,4.9
03-10-2023,109290,145616.65,6.0
03-11-2023,98103,145616.65,5.3
04-10-2023,108990,145616.65,5.9
04-11-2023,93739,145616.65,5.1
05-10-2023,112872,145616.65,6.2
05-11-2023,101919,145616.65,5.6
06-10-2023,111220,145616.65,6.1
06-11-2023,106391,145616.65,5.8
07-10-2023,109261,145616.65,6.0
07-11-2023,115284,145616.65,6.3
08-10-2023,125783,145616.65,6.9
08-11-2023,110825,145616.65,6.0
09-10-2023,117152,145616.65,6.4
09-11-2023,116875,145616.65,6.4
10-10-2023,92838,145616.65,5.1
10-11-2023,116265,145616.65,6.3
11-10-2023,74764,145616.65,4.1
11-11-2023,125201,145616.65,6.8
12-10-2023,73381,145616.65,4.0
12-11-2023,143149,145616.65,7.8
13-10-2023,82419,145616.65,4.5
14-10-2023,79315,145616.65,4.3
15-10-2023,71900,145616.65,3.9
16-10-2023,66742,145616.65,3.6
17-10-2023,72148,145616.65,3.9
18-10-2023,48252,145616.65,2.6
19-10-2023,36316,145616.65,2.0
20-10-2023,37935,145616.65,2.1
21-10-2023,30999,145616.65,1.7
22-10-2023,48405,145616.65,2.6
23-10-2023,60522,145616.65,3.3
24-10-2023,72302,145616.65,3.9
25-10-2023,81884,145616.65,4.5
26-10-2023,90910,145616.65,5.0
27-10-2023,87889,145616.65,4.8
28-09-2023,137127,145616.65,7.5
28-10-2023,72719,145616.65,4.0
29-09-2023,123810,145616.65,6.7
29-10-2023,80071,145616.65,4.4
30-09-2023,108642,145616.65,5.9
30-10-2023,88112,145616.65,4.8
31-10-2023,81389,145616.65,4.4
