Date,Stock (MT),ROP_Level,Days_of_Stock
01-07-2023,131464,177809.91,6.1
01-08-2023,123583,177809.91,5.8
01-09-2023,63601,177809.91,3.0
01-11-2023,60735,177809.91,2.8
02-07-2023,134055,177809.91,6.3
02-08-2023,114556,177809.91,5.4
02-09-2023,62995,177809.91,2.9
02-11-2023,46875,177809.91,2.2
03-07-2023,140372,177809.91,6.6
03-08-2023,118438,177809.91,5.5
03-09-2023,56278,177809.91,2.6
03-11-2023,36619,177809.91,1.7
04-07-2023,136807,177809.91,6.4
04-08-2023,102807,177809.91,4.8
04-09-2023,61689,177809.91,2.9
04-11-2023,38744,177809.91,1.8
05-07-2023,137399,177809.91,6.4
05-08-2023,102035,177809.91,4.8
05-09-2023,59544,177809.91,2.8
05-11-2023,42477,177809.91,2.0
06-07-2023,142051,177809.91,6.6
06-08-2023,102128,177809.91,4.8
06-09-2023,55807,177809.91,2.6
06-11-2023,57988,177809.91,2.7
07-07-2023,144009,177809.91,6.7
07-08-2023,88644,177809.91,4.1
07-09-2023,61036,177809.91,2.9
07-11-2023,73847,177809.91,3.5
08-07-2023,145756,177809.91,6.8
08-08-2023,88109,177809.91,4.1
08-09-2023,76455,177809.91,3.6
08-11-2023,87602,177809.91,4.1
09-07-2023,149882,177809.91,7.0
09-08-2023,93900,177809.91,4.4
09-09-2023,94035,177809.91,4.4
09-11-2023,81731,177809.91,3.8
10-07-2023,156738,177809.91,7.3
10-08-2023,77362,177809.91,3.6
10-09-2023,96398,177809.91,4.5
10-11-2023,92839,177809.91,4.3
11-07-2023,159521,177809.91,7.5
11-08-2023,75385,177809.91,3.5
11-09-2023,120784,177809.91,5.6
11-11-2023,105460,177809.91,4.9
12-07-2023,157233,177809.91,7.4
12-08-2023,78739,177809.91,3.7
12-09-2023,134821,177809.91,6.3
12-10-2023,164566,177809.91,7.7
12-11-2023,108702,177809.91,5.1
13-07-2023,150662,177809.91,7.0
13-08-2023,85909,177809.91,4.0
13-09-2023,148593,177809.91,7.0
13-10-2023,145284,177809.91,6.8
13-11-2023,129363,177809.91,6.1
14-07-2023,153471,177809.91,7.2
14-08-2023,77135,177809.91,3.6
14-09-2023,148188,177809.91,6.9
14-10-2023,131076,177809.91,6.1
14-11-2023,146639,177809.91,6.9
15-07-2023,158013,177809.91,7.4
15-08-2023,75838,177809.91,3.5
15-09-2023,159453,177809.91,7.5
15-10-2023,128199,177809.91,6.0
15-11-2023,150894,177809.91,7.1
16-06-2023,175983,177809.91,8.2
16-07-2023,162300,177809.91,7.6
16-08-2023,75466,177809.91,3.5
16-09-2023,173033,177809.91,8.1
16-10-2023,118279,177809.91,5.5
16-11-2023,152504,177809.91,7.1
17-06-2023,168955,177809.91,7.9
17-07-2023,160165,177809.91,7.5
17-08-2023,67827,177809.91,3.2
17-10-2023,119084,177809.91,5.6
17-11-2023,147235,177809.91,6.9
18-06-2023,171613,177809.91,8.0
18-07-2023,159970,177809.91,7.5
18-08-2023,59754,177809.91,2.8
18-10-2023,115895,177809.91,5.4
18-11-2023,154763,177809.91,7.2
19-06-2023,165361,177809.91,7.7
19-07-2023,165785,177809.91,7.8
19-08-2023,51858,177809.91,2.4
19-10-2023,123353,177809.91,5.8
19-11-2023,147445,177809.91,6.9
20-06-2023,156610,177809.91,7.3
20-07-2023,152318,177809.91,7.1
20-08-2023,56257,177809.91,2.6
20-10-2023,126169,177809.91,5.9
20-11-2023,141889,177809.91,6.6
21-06-2023,162218,177809.91,7.6
21-07-2023,158968,177809.91,7.4
21-08-2023,59903,177809.91,2.8
21-10-2023,124785,177809.91,5.8
21-11-2023,143614,177809.91,6.7
22-06-2023,151444,177809.91,7.1
22-07-2023,157491,177809.91,7.4
22-08-2023,67025,177809.91,3.1
22-10-2023,123162,177809.91,5.8
22-11-2023,131094,177809.91,6.1
23-06-2023,140161,177809.91,6.6
23-07-2023,161780,177809.91,7.6
23-08-2023,83842,177809.91,3.9
23-10-2023,119553,177809.91,5.6
23-11-2023,134180,177809.91,6.3
24-06-2023,139123,177809.91,6.5
24-07-2023,167591,177809.91,7.8
24-08-2023,87025,177809.91,4.1
24-10-2023,119585,177809.91,5.6
24-11-2023,132986,177809.91,6.2
25-06-2023,137259,177809.91,6.4
25-07-2023,153093,177809.91,7.2
25-08-2023,92288,177809.91,4.3
25-10-2023,117415,177809.91,5.5
25-11-2023,132164,177809.91,6.2
26-04-2023,177398,177809.91,8.3
26-06-2023,131689,177809.91,6.2
26-07-2023,150608,177809.91,7.0
26-08-2023,96934,177809.91,4.5
26-10-2023,111112,177809.91,5.2
26-11-2023,153233,177809.91,7.2
27-04-2023,176127,177809.91,8.2
27-06-2023,131000,177809.91,6.1
27-07-2023,146128,177809.91,6.8
27-08-2023,91423,177809.91,4.3
27-10-2023,100641,177809.91,4.7
27-11-2023,159861,177809.91,7.5
28-04-2023,167704,177809.91,7.8
28-06-2023,127186,177809.91,5.9
28-07-2023,150290,177809.91,7.0
28-08-2023,91441,177809.91,4.3
28-10-2023,94975,177809.91,4.4
28-11-2023,165002,177809.91,7.7
29-04-2023,167631,177809.91,7.8
29-06-2023,118404,177809.91,5.5
29-07-2023,145868,177809.91,6.8
29-08-2023,83761,177809.91,3.9
29-10-2023,82929,177809.91,3.9
30-06-2023,125685,177809.91,5.9
30-07-2023,143258,177809.91,6.7
30-08-2023,77598,177809.91,3.6
30-10-2023,81274,177809.91,3.8
31-07-2023,129656,177809.91,6.1
31-08-2023,66970,177809.91,3.1
31-10-2023,66798,177809.91,3.1
