Date,Stock (MT),ROP_Level,Min_Level,Days_of_Stock,Stock_Status
01-05-2023,260789,309486.85,297210.52,8.6,CRITICAL
01-07-2023,224187,309486.85,297210.52,7.4,CRITICAL
01-08-2023,193887,309486.85,297210.52,6.4,CRITICAL
01-09-2023,158820,309486.85,297210.52,5.3,CRITICAL
01-10-2023,150312,309486.85,297210.52,5.0,CRITICAL
01-11-2023,125161,309486.85,297210.52,4.2,CRITICAL
01-12-2023,228430,309486.85,297210.52,7.6,CRITICAL
02-05-2023,260290,309486.85,297210.52,8.6,CRITICAL
02-07-2023,219412,309486.85,297210.52,7.3,CRITICAL
02-08-2023,189221,309486.85,297210.52,6.3,CRITICAL
02-09-2023,167254,309486.85,297210.52,5.5,CRITICAL
02-10-2023,128280,309486.85,297210.52,4.3,CRITICAL
02-11-2023,114954,309486.85,297210.52,3.8,CRITICAL
02-12-2023,237857,309486.85,297210.52,7.9,CRITICAL
03-05-2023,274325,309486.85,297210.52,9.1,CRITICAL
03-07-2023,223041,309486.85,297210.52,7.4,CRITICAL
03-08-2023,171654,309486.85,297210.52,5.7,CRITICAL
03-09-2023,181070,309486.85,297210.52,6.0,CRITICAL
03-10-2023,120999,309486.85,297210.52,4.0,CRITICAL
03-11-2023,117518,309486.85,297210.52,3.9,CRITICAL
03-12-2023,247545,309486.85,297210.52,8.2,CRITICAL
04-05-2023,278330,309486.85,297210.52,9.2,CRITICAL
04-07-2023,229595,309486.85,297210.52,7.6,CRITICAL
04-08-2023,169937,309486.85,297210.52,5.6,CRITICAL
04-09-2023,174900,309486.85,297210.52,5.8,CRITICAL
04-10-2023,108899,309486.85,297210.52,3.6,CRITICAL
04-10-2024,306101,309486.85,297210.52,10.2,REORDER NOW
04-11-2023,115807,309486.85,297210.52,3.8,CRITICAL
04-12-2023,258334,309486.85,297210.52,8.6,CRITICAL
05-05-2023,278137,309486.85,297210.52,9.2,CRITICAL
05-07-2023,223190,309486.85,297210.52,7.4,CRITICAL
05-08-2023,161473,309486.85,297210.52,5.4,CRITICAL
05-09-2023,181978,309486.85,297210.52,6.0,CRITICAL
05-10-2023,104315,309486.85,297210.52,3.5,CRITICAL
05-10-2024,300743,309486.85,297210.52,10.0,REORDER NOW
05-11-2023,110633,309486.85,297210.52,3.7,CRITICAL
05-12-2023,257759,309486.85,297210.52,8.5,CRITICAL
06-05-2023,288707,309486.85,297210.52,9.6,CRITICAL
06-07-2023,225630,309486.85,297210.52,7.5,CRITICAL
06-08-2023,153913,309486.85,297210.52,5.1,CRITICAL
06-09-2023,185758,309486.85,297210.52,6.2,CRITICAL
06-10-2023,99618,309486.85,297210.52,3.3,CRITICAL
06-10-2024,290424,309486.85,297210.52,9.6,CRITICAL
06-11-2023,120482,309486.85,297210.52,4.0,CRITICAL
06-12-2023,279992,309486.85,297210.52,9.3,CRITICAL
07-05-2023,279093,309486.85,297210.52,9.3,CRITICAL
07-07-2023,236291,309486.85,297210.52,7.8,CRITICAL
07-08-2023,138460,309486.85,297210.52,4.6,CRITICAL
07-09-2023,185959,309486.85,297210.52,6.2,CRITICAL
07-10-2023,100607,309486.85,297210.52,3.3,CRITICAL
07-10-2024,289821,309486.85,297210.52,9.6,CRITICAL
07-11-2023,161655,309486.85,297210.52,5.4,CRITICAL
07-12-2023,291497,309486.85,297210.52,9.7,CRITICAL
08-05-2023,290657,309486.85,297210.52,9.6,CRITICAL
08-07-2023,236461,309486.85,297210.52,7.8,CRITICAL
08-08-2023,141991,309486.85,297210.52,4.7,CRITICAL
08-09-2023,176819,309486.85,297210.52,5.9,CRITICAL
08-10-2023,91072,309486.85,297210.52,3.0,CRITICAL
08-10-2024,280235,309486.85,297210.52,9.3,CRITICAL
08-11-2023,171124,309486.85,297210.52,5.7,CRITICAL
08-11-2024,295616,309486.85,297210.52,9.8,CRITICAL
08-12-2023,302118,309486.85,297210.52,10.0,REORDER NOW
09-05-2023,292381,309486.85,297210.52,9.7,CRITICAL
09-07-2023,236314,309486.85,297210.52,7.8,CRITICAL
09-08-2023,141798,309486.85,297210.52,4.7,CRITICAL
09-09-2023,173702,309486.85,297210.52,5.8,CRITICAL
09-10-2023,83558,309486.85,297210.52,2.8,CRITICAL
09-10-2024,294903,309486.85,297210.52,9.8,CRITICAL
09-11-2023,193750,309486.85,297210.52,6.4,CRITICAL
09-11-2024,271867,309486.85,297210.52,9.0,CRITICAL
10-05-2023,303492,309486.85,297210.52,10.1,REORDER NOW
10-07-2023,231717,309486.85,297210.52,7.7,CRITICAL
10-08-2023,138311,309486.85,297210.52,4.6,CRITICAL
10-09-2023,172306,309486.85,297210.52,5.7,CRITICAL
10-10-2023,86330,309486.85,297210.52,2.9,CRITICAL
10-10-2024,279832,309486.85,297210.52,9.3,CRITICAL
10-11-2023,195564,309486.85,297210.52,6.5,CRITICAL
10-11-2024,278718,309486.85,297210.52,9.2,CRITICAL
11-05-2023,306589,309486.85,297210.52,10.2,REORDER NOW
11-07-2023,227850,309486.85,297210.52,7.6,CRITICAL
11-08-2023,157116,309486.85,297210.52,5.2,CRITICAL
11-09-2023,175336,309486.85,297210.52,5.8,CRITICAL
11-10-2023,80957,309486.85,297210.52,2.7,CRITICAL
11-10-2024,276515,309486.85,297210.52,9.2,CRITICAL
11-11-2023,202680,309486.85,297210.52,6.7,CRITICAL
11-11-2024,276276,309486.85,297210.52,9.2,CRITICAL
12-05-2023,308289,309486.85,297210.52,10.2,REORDER NOW
12-07-2023,228766,309486.85,297210.52,7.6,CRITICAL
12-08-2023,151307,309486.85,297210.52,5.0,CRITICAL
12-09-2023,163901,309486.85,297210.52,5.4,CRITICAL
12-10-2023,71435,309486.85,297210.52,2.4,CRITICAL
12-10-2024,281950,309486.85,297210.52,9.4,CRITICAL
12-11-2023,224733,309486.85,297210.52,7.5,CRITICAL
12-11-2024,260875,309486.85,297210.52,8.7,CRITICAL
13-07-2023,225682,309486.85,297210.52,7.5,CRITICAL
13-08-2023,145829,309486.85,297210.52,4.8,CRITICAL
13-09-2023,176173,309486.85,297210.52,5.8,CRITICAL
13-10-2023,63530,309486.85,297210.52,2.1,CRITICAL
13-10-2024,289537,309486.85,297210.52,9.6,CRITICAL
13-11-2023,226106,309486.85,297210.52,7.5,CRITICAL
13-11-2024,268517,309486.85,297210.52,8.9,CRITICAL
14-07-2023,226912,309486.85,297210.52,7.5,CRITICAL
14-08-2023,139762,309486.85,297210.52,4.6,CRITICAL
14-09-2023,192209,309486.85,297210.52,6.4,CRITICAL
14-10-2023,54475,309486.85,297210.52,1.8,CRITICAL
14-10-2024,301636,309486.85,297210.52,10.0,REORDER NOW
14-11-2023,243797,309486.85,297210.52,8.1,CRITICAL
14-11-2024,287326,309486.85,297210.52,9.5,CRITICAL
15-04-2023,302354,309486.85,297210.52,10.0,REORDER NOW
15-07-2023,228712,309486.85,297210.52,7.6,CRITICAL
15-08-2023,132285,309486.85,297210.52,4.4,CRITICAL
15-09-2023,190591,309486.85,297210.52,6.3,CRITICAL
15-10-2023,47430,309486.85,297210.52,1.6,CRITICAL
15-11-2023,260574,309486.85,297210.52,8.6,CRITICAL
15-11-2024,300143,309486.85,297210.52,10.0,REORDER NOW
16-04-2023,285872,309486.85,297210.52,9.5,CRITICAL
16-05-2023,305279,309486.85,297210.52,10.1,REORDER NOW
16-07-2023,243279,309486.85,297210.52,8.1,CRITICAL
16-08-2023,139693,309486.85,297210.52,4.6,CRITICAL
16-09-2023,194029,309486.85,297210.52,6.4,CRITICAL
16-10-2023,41644,309486.85,297210.52,1.4,CRITICAL
16-11-2023,268742,309486.85,297210.52,8.9,CRITICAL
17-04-2023,271611,309486.85,297210.52,9.0,CRITICAL
17-07-2023,256593,309486.85,297210.52,8.5,CRITICAL
