Date,Stock (MT),ROP_Level,Min_Level,Days_of_Stock,Stock_Status
01-10-2023,108397,184618.26,162409.53,5.9,CRITICAL
01-11-2023,90908,184618.26,162409.53,5.0,CRITICAL
01-12-2024,182925,184618.26,162409.53,10.0,REORDER NOW
02-10-2023,108018,184618.26,162409.53,5.9,CRITICAL
02-11-2023,90676,184618.26,162409.53,4.9,CRITICAL
03-10-2023,109290,184618.26,162409.53,6.0,CRITICAL
03-11-2023,98103,184618.26,162409.53,5.3,CRITICAL
04-10-2023,108990,184618.26,162409.53,5.9,CRITICAL
04-11-2023,93739,184618.26,162409.53,5.1,CRITICAL
05-10-2023,112872,184618.26,162409.53,6.2,CRITICAL
05-11-2023,101919,184618.26,162409.53,5.6,CRITICAL
06-10-2023,111220,184618.26,162409.53,6.1,CRITICAL
06-11-2023,106391,184618.26,162409.53,5.8,CRITICAL
07-10-2023,109261,184618.26,162409.53,6.0,CRITICAL
07-11-2023,115284,184618.26,162409.53,6.3,CRITICAL
08-10-2023,125783,184618.26,162409.53,6.9,CRITICAL
08-11-2023,110825,184618.26,162409.53,6.0,CRITICAL
09-10-2023,117152,184618.26,162409.53,6.4,CRITICAL
09-11-2023,116875,184618.26,162409.53,6.4,CRITICAL
10-10-2023,92838,184618.26,162409.53,5.1,CRITICAL
10-11-2023,116265,184618.26,162409.53,6.3,CRITICAL
11-10-2023,74764,184618.26,162409.53,4.1,CRITICAL
11-11-2023,125201,184618.26,162409.53,6.8,CRITICAL
12-10-2023,73381,184618.26,162409.53,4.0,CRITICAL
12-11-2023,143149,184618.26,162409.53,7.8,CRITICAL
13-10-2023,82419,184618.26,162409.53,4.5,CRITICAL
13-11-2023,157024,184618.26,162409.53,8.6,CRITICAL
14-10-2023,79315,184618.26,162409.53,4.3,CRITICAL
14-11-2023,165052,184618.26,162409.53,9.0,REORDER NOW
15-10-2023,71900,184618.26,162409.53,3.9,CRITICAL
15-11-2023,164921,184618.26,162409.53,9.0,REORDER NOW
16-10-2023,66742,184618.26,162409.53,3.6,CRITICAL
16-11-2023,164750,184618.26,162409.53,9.0,REORDER NOW
17-10-2023,72148,184618.26,162409.53,3.9,CRITICAL
17-11-2023,166959,184618.26,162409.53,9.1,REORDER NOW
18-10-2023,48252,184618.26,162409.53,2.6,CRITICAL
18-11-2023,168225,184618.26,162409.53,9.2,REORDER NOW
19-10-2023,36316,184618.26,162409.53,2.0,CRITICAL
19-11-2023,168831,184618.26,162409.53,9.2,REORDER NOW
20-10-2023,37935,184618.26,162409.53,2.1,CRITICAL
20-11-2023,172625,184618.26,162409.53,9.4,REORDER NOW
20-11-2024,172344,184618.26,162409.53,9.4,REORDER NOW
21-10-2023,30999,184618.26,162409.53,1.7,CRITICAL
21-11-2023,171087,184618.26,162409.53,9.3,REORDER NOW
21-11-2024,173948,184618.26,162409.53,9.5,REORDER NOW
22-10-2023,48405,184618.26,162409.53,2.6,CRITICAL
22-11-2023,161702,184618.26,162409.53,8.8,CRITICAL
22-11-2024,171641,184618.26,162409.53,9.4,REORDER NOW
23-10-2023,60522,184618.26,162409.53,3.3,CRITICAL
23-11-2023,153301,184618.26,162409.53,8.4,CRITICAL
23-11-2024,167491,184618.26,162409.53,9.1,REORDER NOW
24-09-2023,173022,184618.26,162409.53,9.4,REORDER NOW
24-10-2023,72302,184618.26,162409.53,3.9,CRITICAL
24-11-2023,149327,184618.26,162409.53,8.1,CRITICAL
24-11-2024,168593,184618.26,162409.53,9.2,REORDER NOW
25-09-2023,170722,184618.26,162409.53,9.3,REORDER NOW
25-10-2023,81884,184618.26,162409.53,4.5,CRITICAL
25-11-2023,157537,184618.26,162409.53,8.6,CRITICAL
25-11-2024,167557,184618.26,162409.53,9.1,REORDER NOW
26-09-2023,157759,184618.26,162409.53,8.6,CRITICAL
26-10-2023,90910,184618.26,162409.53,5.0,CRITICAL
26-11-2023,172550,184618.26,162409.53,9.4,REORDER NOW
26-11-2024,169307,184618.26,162409.53,9.2,REORDER NOW
27-09-2023,152476,184618.26,162409.53,8.3,CRITICAL
27-10-2023,87889,184618.26,162409.53,4.8,CRITICAL
27-11-2023,180796,184618.26,162409.53,9.9,REORDER NOW
27-11-2024,173563,184618.26,162409.53,9.5,REORDER NOW
28-09-2023,137127,184618.26,162409.53,7.5,CRITICAL
28-10-2023,72719,184618.26,162409.53,4.0,CRITICAL
28-11-2023,180303,184618.26,162409.53,9.8,REORDER NOW
28-11-2024,174595,184618.26,162409.53,9.5,REORDER NOW
29-09-2023,123810,184618.26,162409.53,6.7,CRITICAL
29-10-2023,80071,184618.26,162409.53,4.4,CRITICAL
29-11-2024,182187,184618.26,162409.53,9.9,REORDER NOW
30-09-2023,108642,184618.26,162409.53,5.9,CRITICAL
30-10-2023,88112,184618.26,162409.53,4.8,CRITICAL
31-10-2023,81389,184618.26,162409.53,4.4,CRITICAL
