Date,Stock (MT),ROP_Level,Min_Level,Days_of_Stock,Stock_Status
01-04-2023,192074,224337.99,189439.62,9.0,REORDER NOW
01-05-2023,185255,224337.99,189439.62,8.7,CRITICAL
01-07-2023,131464,224337.99,189439.62,6.1,CRITICAL
01-08-2023,123583,224337.99,189439.62,5.8,CRITICAL
01-09-2023,63601,224337.99,189439.62,3.0,CRITICAL
01-11-2023,60735,224337.99,189439.62,2.8,CRITICAL
01-12-2023,200766,224337.99,189439.62,9.4,REORDER NOW
02-04-2023,194491,224337.99,189439.62,9.1,REORDER NOW
02-05-2023,183903,224337.99,189439.62,8.6,CRITICAL
02-07-2023,134055,224337.99,189439.62,6.3,CRITICAL
02-08-2023,114556,224337.99,189439.62,5.4,CRITICAL
02-09-2023,62995,224337.99,189439.62,2.9,CRITICAL
02-11-2023,46875,224337.99,189439.62,2.2,CRITICAL
02-12-2023,196140,224337.99,189439.62,9.2,REORDER NOW
03-04-2023,204401,224337.99,189439.62,9.6,REORDER NOW
03-05-2023,187740,224337.99,189439.62,8.8,CRITICAL
03-07-2023,140372,224337.99,189439.62,6.6,CRITICAL
03-08-2023,118438,224337.99,189439.62,5.5,CRITICAL
03-09-2023,56278,224337.99,189439.62,2.6,CRITICAL
03-11-2023,36619,224337.99,189439.62,1.7,CRITICAL
03-12-2023,218058,224337.99,189439.62,10.2,REORDER NOW
04-04-2023,189794,224337.99,189439.62,8.9,REORDER NOW
04-05-2023,187481,224337.99,189439.62,8.8,CRITICAL
04-07-2023,136807,224337.99,189439.62,6.4,CRITICAL
04-08-2023,102807,224337.99,189439.62,4.8,CRITICAL
04-09-2023,61689,224337.99,189439.62,2.9,CRITICAL
04-11-2023,38744,224337.99,189439.62,1.8,CRITICAL
05-04-2023,184972,224337.99,189439.62,8.7,CRITICAL
05-05-2023,192100,224337.99,189439.62,9.0,REORDER NOW
05-07-2023,137399,224337.99,189439.62,6.4,CRITICAL
05-08-2023,102035,224337.99,189439.62,4.8,CRITICAL
05-09-2023,59544,224337.99,189439.62,2.8,CRITICAL
05-11-2023,42477,224337.99,189439.62,2.0,CRITICAL
06-04-2023,195198,224337.99,189439.62,9.1,REORDER NOW
06-05-2023,188730,224337.99,189439.62,8.8,CRITICAL
