iter	Passed	Remaining
0	2	957
1	5	895
2	7	878
3	10	828
4	12	821
5	14	792
6	16	762
7	18	744
8	20	728
9	21	712
10	23	698
11	25	686
12	27	692
13	29	687
14	32	683
15	33	677
16	36	674
17	37	667
18	39	659
19	41	653
20	43	653
21	45	647
22	47	640
23	48	633
24	50	629
25	52	621
26	53	615
27	55	609
28	57	604
29	59	605
30	61	601
31	63	597
32	64	594
33	66	590
34	68	586
35	70	584
36	72	581
37	74	584
38	76	582
39	78	579
40	80	576
41	82	574
42	84	570
43	85	567
44	87	564
45	89	563
46	91	563
47	93	560
48	95	557
49	97	556
50	99	555
51	101	552
52	103	550
53	105	549
54	107	548
55	109	546
56	111	543
57	113	540
58	115	538
59	116	536
60	118	533
61	119	526
62	122	528
63	124	527
64	126	524
65	128	522
66	130	521
67	132	520
68	134	518
69	136	518
70	138	516
71	140	513
72	142	511
73	144	508
74	146	506
75	148	504
76	149	502
77	151	500
78	154	499
79	156	498
80	158	496
81	159	493
82	161	491
83	163	488
84	165	486
85	167	484
86	169	483
87	171	480
88	173	479
89	175	477
90	177	475
91	179	473
92	180	470
93	182	467
94	184	466
95	186	464
96	188	462
97	190	459
98	191	457
99	193	455
100	195	452
101	197	450
102	199	448
103	201	446
104	203	444
105	204	442
106	206	439
107	208	437
108	209	434
109	211	432
110	212	429
111	214	427
112	216	425
113	218	423
114	220	421
115	222	419
116	224	417
117	226	415
118	227	413
119	228	408
120	229	406
121	232	405
122	234	403
123	236	402
124	238	400
125	238	395
126	239	391
127	239	387
128	241	385
129	243	383
130	244	381
131	247	380
132	250	379
133	252	378
134	254	376
135	256	374
136	257	372
137	259	370
138	261	368
139	264	368
140	266	366
141	267	363
142	269	361
143	270	359
144	272	357
145	274	355
146	276	353
147	278	352
148	281	351
149	283	349
150	285	347
151	288	347
152	290	345
153	293	345
154	296	343
155	298	342
156	300	340
157	302	339
158	305	337
159	307	336
160	311	336
161	314	335
162	316	334
163	317	330
164	319	328
165	320	326
166	322	324
167	324	322
168	326	320
169	328	318
170	330	316
171	331	314
172	333	312
173	335	310
174	336	308
175	338	306
176	341	304
177	343	302
178	345	300
179	346	298
180	348	296
181	350	294
182	351	292
183	353	290
184	355	288
185	357	286
186	359	284
187	360	282
188	362	280
189	364	278
190	366	276
191	367	274
192	369	272
193	372	270
194	374	269
195	377	267
196	379	265
197	380	263
198	382	261
199	384	259
200	386	257
201	389	256
202	391	254
203	392	252
204	394	250
205	396	248
206	397	246
207	399	243
208	401	242
209	404	240
210	406	238
211	407	236
212	409	234
213	411	232
214	413	230
215	414	228
216	416	226
217	418	224
218	420	222
219	422	220
220	424	218
221	425	216
222	427	214
223	429	212
224	430	210
225	432	208
226	434	206
227	436	204
228	438	202
229	440	200
230	441	198
231	443	196
232	445	194
233	447	193
234	449	191
235	451	189
236	453	187
237	454	185
238	456	183
239	458	181
240	460	179
241	462	177
242	464	175
243	467	174
244	469	172
245	470	170
246	472	168
247	474	166
248	476	164
249	477	162
250	479	160
251	482	158
252	484	157
253	486	155
254	488	153
255	489	151
256	491	149
257	493	147
258	494	145
259	497	143
260	499	141
261	501	139
262	503	137
263	504	135
264	506	133
265	508	131
266	509	129
267	511	127
268	513	126
269	515	124
270	517	122
271	519	120
272	521	118
273	523	116
274	526	114
275	529	113
276	531	111
277	534	109
278	536	107
279	538	105
280	539	103
281	541	101
282	543	99
283	546	98
284	549	96
285	551	94
286	553	92
287	555	90
288	558	88
289	561	87
290	563	85
291	565	83
292	567	81
293	569	79
294	572	77
295	574	75
296	577	73
297	579	71
298	581	70
299	583	68
300	585	66
301	587	64
302	589	62
303	592	60
304	594	58
305	596	56
306	598	54
307	601	52
308	603	50
309	606	48
310	608	46
311	610	45
312	612	43
313	615	41
314	617	39
315	619	37
316	623	35
317	626	33
318	628	31
319	631	29
320	633	27
321	635	25
322	637	23
323	639	21
324	641	19
325	643	17
326	644	15
327	646	13
328	648	11
329	650	9
330	652	7
331	654	5
332	656	3
333	657	1
334	659	0
